//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first
;Channel 0;;Read Discrete Inputs;%IB0;Modbus_TCP_Slave
;Channel 0[0];;Read Discrete Inputs;%IB0;Modbus_TCP_Slave
Cin1_s;Bit0;;0x0000;%IX0.0;Modbus_TCP_Slave
Cin2_s;Bit1;;0x0001;%IX0.1;Modbus_TCP_Slave
;Bit2;;0x0002;%IX0.2;Modbus_TCP_Slave
;Bit3;;0x0003;%IX0.3;Modbus_TCP_Slave
;Bit4;;0x0004;%IX0.4;Modbus_TCP_Slave
;Bit5;;0x0005;%IX0.5;Modbus_TCP_Slave
;Bit6;;0x0006;%IX0.6;Modbus_TCP_Slave
;Bit7;;0x0007;%IX0.7;Modbus_TCP_Slave
;Channel 0[1];;Read Discrete Inputs;%IB1;Modbus_TCP_Slave
;Bit0@1;;0x0008;%IX1.0;Modbus_TCP_Slave
;Bit1@1;;0x0009;%IX1.1;Modbus_TCP_Slave
;Bit2@1;;0x000A;%IX1.2;Modbus_TCP_Slave
;Bit3@1;;0x000B;%IX1.3;Modbus_TCP_Slave
;Bit4@1;;0x000C;%IX1.4;Modbus_TCP_Slave
;Bit5@1;;0x000D;%IX1.5;Modbus_TCP_Slave
;Bit6@1;;0x000E;%IX1.6;Modbus_TCP_Slave
;Bit7@1;;0x000F;%IX1.7;Modbus_TCP_Slave
;Channel 0[2];;Read Discrete Inputs;%IB2;Modbus_TCP_Slave
;Bit0@2;;0x0010;%IX2.0;Modbus_TCP_Slave
;Bit1@2;;0x0011;%IX2.1;Modbus_TCP_Slave
;Bit2@2;;0x0012;%IX2.2;Modbus_TCP_Slave
;Bit3@2;;0x0013;%IX2.3;Modbus_TCP_Slave
;Bit4@2;;0x0014;%IX2.4;Modbus_TCP_Slave
;Bit5@2;;0x0015;%IX2.5;Modbus_TCP_Slave
;Bit6@2;;0x0016;%IX2.6;Modbus_TCP_Slave
;Bit7@2;;0x0017;%IX2.7;Modbus_TCP_Slave
;Channel 0[3];;Read Discrete Inputs;%IB3;Modbus_TCP_Slave
